plot_id,species_id,sex,weight,date,plot_type
1,DM,M,27,1/27/1996,Spectab exclosure
2,DM,F,47,1/27/1996,Control
1,DM,M,27,1/27/1996,Spectab exclosure
17,DM,F,49,1/27/1996,Control
1,PB,F,38,1/27/1996,Spectab exclosure
12,DM,F,51,1/27/1996,Control
22,DM,F,43,1/27/1996,Control
12,DM,F,44,1/27/1996,Control
2,DM,F,45,1/27/1996,Control
17,DM,M,42,1/27/1996,Control
1,DO,M,42,1/27/1996,Spectab exclosure
2,DO,M,54,1/27/1996,Control
2,DM,M,49,1/27/1996,Control
12,DM,M,56,1/27/1996,Control
21,PM,F,31,1/27/1996,Long-term Krat Exclosure
2,PE,M,25,1/27/1996,Control
12,DM,M,47,1/27/1996,Control
20,PF,M,9,1/27/1996,Short-term Krat Exclosure
1,OT,M,25,1/27/1996,Spectab exclosure
3,DO,M,64,1/28/1996,Long-term Krat Exclosure
4,PF,M,9,1/28/1996,Control
11,DO,F,52,1/28/1996,Control
13,PP,M,17,1/28/1996,Short-term Krat Exclosure
15,DM,F,37,1/28/1996,Long-term Krat Exclosure
13,PF,F,7,1/28/1996,Short-term Krat Exclosure
14,DM,M,53,1/28/1996,Control
8,DO,M,60,1/28/1996,Control
14,DM,F,50,1/28/1996,Control
9,PF,F,8,1/28/1996,Spectab exclosure
3,PP,F,18,1/28/1996,Long-term Krat Exclosure
3,PF,F,9,1/28/1996,Long-term Krat Exclosure
4,DM,F,52,1/28/1996,Control
8,DM,M,37,1/28/1996,Control
4,DM,M,36,1/28/1996,Control
11,RM,M,12,1/28/1996,Control
9,DM,F,29,1/28/1996,Spectab exclosure
4,DM,F,62,1/28/1996,Control
8,DO,M,55,1/28/1996,Control
8,DO,F,51,1/28/1996,Control
9,DM,M,45,1/28/1996,Spectab exclosure
5,PP,M,15,1/28/1996,Rodent Exclosure
14,DM,M,53,1/28/1996,Control
6,PF,F,7,1/28/1996,Short-term Krat Exclosure
8,DM,F,51,1/28/1996,Control
5,DO,F,34,1/28/1996,Rodent Exclosure
14,PF,F,11,1/28/1996,Control
9,DM,M,43,1/28/1996,Spectab exclosure
2,DM,F,55,2/24/1996,Control
12,DM,F,45,2/24/1996,Control
21,PF,M,10,2/24/1996,Long-term Krat Exclosure
12,DM,M,58,2/24/1996,Control
1,DM,M,37,2/24/1996,Spectab exclosure
21,PP,F,16,2/24/1996,Long-term Krat Exclosure
12,DM,F,49,2/24/1996,Control
2,DM,F,49,2/24/1996,Control
1,PB,F,42,2/24/1996,Spectab exclosure
2,DM,M,55,2/24/1996,Control
2,PM,M,16,2/24/1996,Control
1,PB,F,31,2/24/1996,Spectab exclosure
17,DM,M,45,2/24/1996,Control
12,PF,F,7,2/24/1996,Control
12,DM,F,40,2/24/1996,Control
17,DM,M,52,2/24/1996,Control
24,PM,M,21,2/24/1996,Rodent Exclosure
12,DM,M,51,2/24/1996,Control
19,PP,M,20,2/24/1996,Long-term Krat Exclosure
7,PM,F,24,2/24/1996,Rodent Exclosure
1,OT,M,26,2/24/1996,Spectab exclosure
2,PE,F,19,2/24/1996,Control
12,DM,F,46,2/24/1996,Control
12,DM,M,53,2/24/1996,Control
3,PP,F,18,2/25/1996,Long-term Krat Exclosure
3,PE,F,18,2/25/1996,Long-term Krat Exclosure
11,DO,F,54,2/25/1996,Control
11,PP,M,24,2/25/1996,Control
8,PF,F,8,2/25/1996,Control
4,DM,M,51,2/25/1996,Control
13,PM,M,23,2/25/1996,Short-term Krat Exclosure
6,PF,F,8,2/25/1996,Short-term Krat Exclosure
14,DM,M,51,2/25/1996,Control
3,PP,M,16,2/25/1996,Long-term Krat Exclosure
15,PF,M,11,2/25/1996,Long-term Krat Exclosure
13,PF,M,8,2/25/1996,Short-term Krat Exclosure
13,PF,F,8,2/25/1996,Short-term Krat Exclosure
16,DM,M,32,2/25/1996,Rodent Exclosure
13,PF,M,10,2/25/1996,Short-term Krat Exclosure
5,PF,F,7,2/25/1996,Rodent Exclosure
9,DM,F,47,2/25/1996,Spectab exclosure
15,DM,M,50,2/25/1996,Long-term Krat Exclosure
5,PF,F,8,2/25/1996,Rodent Exclosure
15,DM,F,47,2/25/1996,Long-term Krat Exclosure
5,DM,F,55,2/25/1996,Rodent Exclosure
15,PF,F,10,2/25/1996,Long-term Krat Exclosure
5,OT,F,28,2/25/1996,Rodent Exclosure
16,DO,F,38,2/25/1996,Rodent Exclosure
2,DM,F,41,3/23/1996,Control
23,RM,M,10,3/23/1996,Rodent Exclosure
2,PE,M,21,3/23/1996,Control
1,PF,M,8,3/23/1996,Spectab exclosure
20,PF,F,9,3/23/1996,Short-term Krat Exclosure
24,RM,F,13,3/23/1996,Rodent Exclosure
12,PM,M,17,3/23/1996,Control
20,PE,M,22,3/23/1996,Short-term Krat Exclosure
12,DO,M,51,3/23/1996,Control
7,RM,F,12,3/23/1996,Rodent Exclosure
7,PP,F,17,3/23/1996,Rodent Exclosure
17,DM,M,45,3/23/1996,Control
2,PE,F,18,3/23/1996,Control
1,DM,M,58,3/23/1996,Spectab exclosure
2,DM,M,44,3/23/1996,Control
7,PP,M,21,3/23/1996,Rodent Exclosure
18,PF,M,7,3/23/1996,Short-term Krat Exclosure
1,DO,M,37,3/23/1996,Spectab exclosure
2,DM,M,48,3/23/1996,Control
12,DM,M,49,3/23/1996,Control
17,OT,F,31,3/23/1996,Control
17,PF,M,8,3/23/1996,Control
12,DM,M,36,3/23/1996,Control
17,DM,F,42,3/23/1996,Control
18,PF,F,10,3/23/1996,Short-term Krat Exclosure
2,RM,M,11,3/23/1996,Control
18,RM,M,11,3/23/1996,Short-term Krat Exclosure
21,RM,F,12,3/23/1996,Long-term Krat Exclosure
16,DM,M,42,3/24/1996,Rodent Exclosure
13,PF,M,9,3/24/1996,Short-term Krat Exclosure
14,DM,M,49,3/24/1996,Control
8,PP,M,21,3/24/1996,Control
3,PF,F,8,3/24/1996,Long-term Krat Exclosure
8,PP,F,16,3/24/1996,Control
13,PM,F,20,3/24/1996,Short-term Krat Exclosure
3,PP,M,18,3/24/1996,Long-term Krat Exclosure
11,PM,F,14,3/24/1996,Control
11,DO,M,43,3/24/1996,Control
3,PP,F,15,3/24/1996,Long-term Krat Exclosure
15,DM,M,48,3/24/1996,Long-term Krat Exclosure
14,PP,F,18,3/24/1996,Control
5,DO,F,49,3/24/1996,Rodent Exclosure
10,RM,M,10,3/24/1996,Rodent Exclosure
13,DM,F,39,3/24/1996,Short-term Krat Exclosure
14,PP,M,22,3/24/1996,Control
2,DM,F,47,4/14/1996,Control
19,PF,F,9,4/14/1996,Long-term Krat Exclosure
22,PF,F,8,4/14/1996,Control
17,DM,M,40,4/14/1996,Control
1,PF,M,8,4/14/1996,Spectab exclosure
24,PM,M,18,4/14/1996,Rodent Exclosure
18,PF,F,9,4/14/1996,Short-term Krat Exclosure
17,DM,M,39,4/14/1996,Control
21,PP,F,20,4/14/1996,Long-term Krat Exclosure
19,PF,M,8,4/14/1996,Long-term Krat Exclosure
20,RM,M,11,4/14/1996,Short-term Krat Exclosure
17,DM,M,49,4/14/1996,Control
22,PF,F,7,4/14/1996,Control
2,DM,M,56,4/14/1996,Control
18,PF,M,7,4/14/1996,Short-term Krat Exclosure
17,PF,M,9,4/14/1996,Control
18,PP,M,23,4/14/1996,Short-term Krat Exclosure
18,PF,M,8,4/14/1996,Short-term Krat Exclosure
12,OL,M,27,4/14/1996,Control
19,PP,M,18,4/14/1996,Long-term Krat Exclosure
23,RM,M,13,4/14/1996,Rodent Exclosure
1,DO,M,38,4/14/1996,Spectab exclosure
1,DO,M,37,4/14/1996,Spectab exclosure
19,PF,M,9,4/14/1996,Long-term Krat Exclosure
20,PP,F,25,4/14/1996,Short-term Krat Exclosure
1,PF,F,7,4/14/1996,Spectab exclosure
2,PE,F,22,4/14/1996,Control
24,PE,M,20,4/14/1996,Rodent Exclosure
13,PM,M,21,4/15/1996,Short-term Krat Exclosure
3,PP,M,20,4/15/1996,Long-term Krat Exclosure
8,PF,M,8,4/15/1996,Control
3,PP,M,25,4/15/1996,Long-term Krat Exclosure
4,DM,F,49,4/15/1996,Control
3,DO,F,41,4/15/1996,Long-term Krat Exclosure
11,DO,F,22,4/15/1996,Control
13,PM,F,22,4/15/1996,Short-term Krat Exclosure
3,DO,F,46,4/15/1996,Long-term Krat Exclosure
11,DO,F,49,4/15/1996,Control
3,DO,M,50,4/15/1996,Long-term Krat Exclosure
14,DM,M,50,4/15/1996,Control
3,RM,M,11,4/15/1996,Long-term Krat Exclosure
4,PF,M,11,4/15/1996,Control
13,PF,F,8,4/15/1996,Short-term Krat Exclosure
15,PF,F,12,4/15/1996,Long-term Krat Exclosure
11,PM,M,17,4/15/1996,Control
8,DO,M,30,4/15/1996,Control
13,PM,F,13,4/15/1996,Short-term Krat Exclosure
4,PP,F,11,4/15/1996,Control
8,PP,F,19,4/15/1996,Control
3,PF,M,8,4/15/1996,Long-term Krat Exclosure
15,DM,M,35,4/15/1996,Long-term Krat Exclosure
11,DM,M,51,4/15/1996,Control
3,PP,M,42,4/15/1996,Long-term Krat Exclosure
6,OL,M,27,4/15/1996,Short-term Krat Exclosure
3,OL,F,23,4/15/1996,Long-term Krat Exclosure
3,PF,M,8,4/15/1996,Long-term Krat Exclosure
9,DM,M,39,4/15/1996,Spectab exclosure
14,DM,F,46,4/15/1996,Control
15,PF,M,12,4/15/1996,Long-term Krat Exclosure
11,RM,F,11,4/15/1996,Control
9,DM,M,48,4/15/1996,Spectab exclosure
4,DM,M,47,4/15/1996,Control
8,PP,M,22,4/15/1996,Control
14,DM,M,36,4/15/1996,Control
15,PF,M,10,4/15/1996,Long-term Krat Exclosure
8,DM,M,49,4/15/1996,Control
4,DM,M,38,4/15/1996,Control
9,PF,M,9,4/15/1996,Spectab exclosure
5,PF,M,8,4/15/1996,Rodent Exclosure
11,DO,M,53,4/15/1996,Control
3,PP,F,16,4/15/1996,Long-term Krat Exclosure
11,DM,M,53,4/15/1996,Control
16,RM,M,10,4/15/1996,Rodent Exclosure
15,PF,F,9,4/15/1996,Long-term Krat Exclosure
8,PP,F,16,4/15/1996,Control
21,PF,M,10,5/23/1996,Long-term Krat Exclosure
12,DO,F,34,5/23/1996,Control
21,PP,M,7,5/23/1996,Long-term Krat Exclosure
22,PF,M,8,5/23/1996,Control
22,PP,F,18,5/23/1996,Control
21,PP,M,18,5/23/1996,Long-term Krat Exclosure
18,PF,M,8,5/23/1996,Short-term Krat Exclosure
12,DM,M,46,5/23/1996,Control
1,DO,F,45,5/23/1996,Spectab exclosure
21,PP,M,11,5/23/1996,Long-term Krat Exclosure
12,NL,M,118,5/23/1996,Control
2,DM,M,41,5/23/1996,Control
21,PP,M,12,5/23/1996,Long-term Krat Exclosure
18,PP,M,21,5/23/1996,Short-term Krat Exclosure
2,DM,F,49,5/23/1996,Control
2,PF,M,8,5/23/1996,Control
12,DM,M,53,5/23/1996,Control
1,DO,M,46,5/23/1996,Spectab exclosure
20,PP,F,19,5/23/1996,Short-term Krat Exclosure
22,DM,F,20,5/23/1996,Control
12,DM,M,27,5/23/1996,Control
7,PP,M,18,5/23/1996,Rodent Exclosure
18,PP,M,20,5/23/1996,Short-term Krat Exclosure
3,PP,M,20,5/24/1996,Long-term Krat Exclosure
3,DO,F,35,5/24/1996,Long-term Krat Exclosure
8,PP,F,19,5/24/1996,Control
8,DO,F,47,5/24/1996,Control
13,OT,M,26,5/24/1996,Short-term Krat Exclosure
15,DM,M,42,5/24/1996,Long-term Krat Exclosure
5,PF,M,9,5/24/1996,Rodent Exclosure
3,PP,M,20,5/24/1996,Long-term Krat Exclosure
15,PF,F,11,5/24/1996,Long-term Krat Exclosure
15,PF,F,8,5/24/1996,Long-term Krat Exclosure
6,DO,M,47,5/24/1996,Short-term Krat Exclosure
4,DM,M,47,5/24/1996,Control
15,PF,F,9,5/24/1996,Long-term Krat Exclosure
6,DO,M,31,5/24/1996,Short-term Krat Exclosure
13,PF,F,9,5/24/1996,Short-term Krat Exclosure
6,PF,M,9,5/24/1996,Short-term Krat Exclosure
8,PP,F,18,5/24/1996,Control
15,PP,M,21,5/24/1996,Long-term Krat Exclosure
10,RM,M,12,5/24/1996,Rodent Exclosure
15,PP,M,20,5/24/1996,Long-term Krat Exclosure
14,DM,F,49,5/24/1996,Control
3,DO,M,44,5/24/1996,Long-term Krat Exclosure
14,DM,F,61,5/24/1996,Control
18,PF,F,10,6/13/1996,Short-term Krat Exclosure
2,DM,M,53,6/13/1996,Control
21,PP,F,18,6/13/1996,Long-term Krat Exclosure
21,PP,M,18,6/13/1996,Long-term Krat Exclosure
1,DO,F,49,6/13/1996,Spectab exclosure
7,PP,F,18,6/13/1996,Rodent Exclosure
12,DO,F,43,6/13/1996,Control
1,PP,M,16,6/13/1996,Spectab exclosure
12,DM,M,51,6/13/1996,Control
2,PP,F,17,6/13/1996,Control
19,PF,M,9,6/13/1996,Long-term Krat Exclosure
1,PF,M,6,6/13/1996,Spectab exclosure
17,DM,M,49,6/13/1996,Control
21,PF,F,9,6/13/1996,Long-term Krat Exclosure
23,RM,M,11,6/13/1996,Rodent Exclosure
19,PP,M,12,6/13/1996,Long-term Krat Exclosure
17,DM,M,22,6/13/1996,Control
17,DM,F,51,6/13/1996,Control
12,PM,M,20,6/13/1996,Control
19,PF,M,10,6/13/1996,Long-term Krat Exclosure
18,PF,F,10,6/13/1996,Short-term Krat Exclosure
13,PP,M,19,6/14/1996,Short-term Krat Exclosure
3,PP,M,19,6/14/1996,Long-term Krat Exclosure
9,PF,M,8,6/14/1996,Spectab exclosure
3,DO,F,49,6/14/1996,Long-term Krat Exclosure
8,PP,F,18,6/14/1996,Control
9,DM,F,40,6/14/1996,Spectab exclosure
15,PF,F,10,6/14/1996,Long-term Krat Exclosure
4,DM,M,47,6/14/1996,Control
4,PF,M,5,6/14/1996,Control
9,DM,M,49,6/14/1996,Spectab exclosure
3,PF,M,7,6/14/1996,Long-term Krat Exclosure
4,PF,M,10,6/14/1996,Control
3,PE,F,23,6/14/1996,Long-term Krat Exclosure
8,DO,M,47,6/14/1996,Control
14,PP,F,15,6/14/1996,Control
15,PP,F,19,6/14/1996,Long-term Krat Exclosure
6,DO,F,52,6/14/1996,Short-term Krat Exclosure
13,PF,M,9,6/14/1996,Short-term Krat Exclosure
14,DM,M,48,6/14/1996,Control
15,PF,F,10,6/14/1996,Long-term Krat Exclosure
13,PP,M,13,6/14/1996,Short-term Krat Exclosure
15,OT,M,26,6/14/1996,Long-term Krat Exclosure
15,OL,F,21,6/14/1996,Long-term Krat Exclosure
19,PP,M,18,7/20/1996,Long-term Krat Exclosure
18,PF,M,9,7/20/1996,Short-term Krat Exclosure
21,PP,F,19,7/20/1996,Long-term Krat Exclosure
1,PP,F,16,7/20/1996,Spectab exclosure
18,PP,M,19,7/20/1996,Short-term Krat Exclosure
20,PP,M,20,7/20/1996,Short-term Krat Exclosure
7,PP,F,17,7/20/1996,Rodent Exclosure
7,PP,M,21,7/20/1996,Rodent Exclosure
17,DM,M,49,7/20/1996,Control
17,OT,M,28,7/20/1996,Control
20,PF,M,10,7/20/1996,Short-term Krat Exclosure
1,DO,F,58,7/20/1996,Spectab exclosure
17,PP,M,20,7/20/1996,Control
2,PB,F,24,7/20/1996,Control
2,PP,M,12,7/20/1996,Control
18,PF,F,10,7/20/1996,Short-term Krat Exclosure
17,PF,F,7,7/20/1996,Control
21,PP,F,26,7/20/1996,Long-term Krat Exclosure
5,PF,M,6,7/21/1996,Rodent Exclosure
15,PF,M,10,7/21/1996,Long-term Krat Exclosure
3,DO,F,49,7/21/1996,Long-term Krat Exclosure
15,PP,F,23,7/21/1996,Long-term Krat Exclosure
11,PF,M,9,7/21/1996,Control
8,DO,M,52,7/21/1996,Control
9,OT,M,32,7/21/1996,Spectab exclosure
4,DM,M,47,7/21/1996,Control
6,DO,F,52,7/21/1996,Short-term Krat Exclosure
8,DO,M,51,7/21/1996,Control
14,DM,M,55,7/21/1996,Control
9,DM,M,45,7/21/1996,Spectab exclosure
15,PP,M,23,7/21/1996,Long-term Krat Exclosure
8,DO,M,54,7/21/1996,Control
13,DM,F,44,7/21/1996,Short-term Krat Exclosure
3,DO,F,53,7/21/1996,Long-term Krat Exclosure
3,PP,M,18,7/21/1996,Long-term Krat Exclosure
3,PP,M,19,7/21/1996,Long-term Krat Exclosure
22,DM,F,46,8/14/1996,Control
19,PB,F,23,8/14/1996,Long-term Krat Exclosure
12,DM,M,57,8/14/1996,Control
21,PP,F,20,8/14/1996,Long-term Krat Exclosure
17,DM,M,44,8/14/1996,Control
1,PP,M,19,8/14/1996,Spectab exclosure
19,PP,F,22,8/14/1996,Long-term Krat Exclosure
1,DO,M,23,8/14/1996,Spectab exclosure
1,PB,F,32,8/14/1996,Spectab exclosure
12,DM,M,44,8/14/1996,Control
2,PP,F,19,8/14/1996,Control
20,PP,F,18,8/14/1996,Short-term Krat Exclosure
7,PP,F,17,8/14/1996,Rodent Exclosure
19,PP,M,15,8/14/1996,Long-term Krat Exclosure
2,PP,M,15,8/14/1996,Control
12,PP,F,16,8/14/1996,Control
21,PP,F,21,8/14/1996,Long-term Krat Exclosure
3,PP,F,16,8/15/1996,Long-term Krat Exclosure
6,PP,M,15,8/15/1996,Short-term Krat Exclosure
3,DO,F,48,8/15/1996,Long-term Krat Exclosure
15,DM,M,41,8/15/1996,Long-term Krat Exclosure
9,DM,F,45,8/15/1996,Spectab exclosure
14,DM,F,48,8/15/1996,Control
8,DO,F,55,8/15/1996,Control
13,PP,M,18,8/15/1996,Short-term Krat Exclosure
3,PP,M,17,8/15/1996,Long-term Krat Exclosure
4,PP,M,12,8/15/1996,Control
6,OT,M,22,8/15/1996,Short-term Krat Exclosure
11,PP,F,11,8/15/1996,Control
5,OT,F,22,8/15/1996,Rodent Exclosure
3,PP,M,11,8/15/1996,Long-term Krat Exclosure
3,PP,F,17,8/15/1996,Long-term Krat Exclosure
9,DM,M,47,8/15/1996,Spectab exclosure
3,PP,M,17,8/15/1996,Long-term Krat Exclosure
8,PP,F,13,8/15/1996,Control
4,PF,M,10,8/15/1996,Control
13,PF,F,11,8/15/1996,Short-term Krat Exclosure
6,OT,F,21,8/15/1996,Short-term Krat Exclosure
17,DM,M,48,9/21/1996,Control
23,PP,M,22,9/21/1996,Rodent Exclosure
2,DM,F,26,9/21/1996,Control
20,OT,F,27,9/21/1996,Short-term Krat Exclosure
2,DM,F,42,9/21/1996,Control
20,PF,M,8,9/21/1996,Short-term Krat Exclosure
22,DM,F,54,9/21/1996,Control
1,PF,M,7,9/21/1996,Spectab exclosure
2,PP,F,20,9/21/1996,Control
17,OT,M,13,9/21/1996,Control
1,DO,M,41,9/21/1996,Spectab exclosure
12,DM,F,43,9/21/1996,Control
21,OT,M,15,9/21/1996,Long-term Krat Exclosure
22,DM,F,52,9/21/1996,Control
2,PB,F,24,9/21/1996,Control
17,DM,M,50,9/21/1996,Control
20,PB,M,25,9/21/1996,Short-term Krat Exclosure
12,OT,M,27,9/21/1996,Control
12,PF,F,8,9/21/1996,Control
22,OT,F,24,9/21/1996,Control
6,PP,F,15,9/22/1996,Short-term Krat Exclosure
3,PP,F,17,9/22/1996,Long-term Krat Exclosure
13,OT,F,16,9/22/1996,Short-term Krat Exclosure
4,DM,M,51,9/22/1996,Control
13,OT,F,18,9/22/1996,Short-term Krat Exclosure
3,PB,F,26,9/22/1996,Long-term Krat Exclosure
13,OT,M,14,9/22/1996,Short-term Krat Exclosure
15,PP,M,15,9/22/1996,Long-term Krat Exclosure
9,DO,M,50,9/22/1996,Spectab exclosure
5,PP,F,16,9/22/1996,Rodent Exclosure
3,PP,F,16,9/22/1996,Long-term Krat Exclosure
3,PP,F,18,9/22/1996,Long-term Krat Exclosure
11,DM,F,33,9/22/1996,Control
13,OT,M,21,9/22/1996,Short-term Krat Exclosure
3,PP,M,20,9/22/1996,Long-term Krat Exclosure
16,PM,M,19,9/22/1996,Rodent Exclosure
